timestamp,active,elapsed_time,work_elapsed,leisure_elapsed,total_work_hours,total_leisure_hours,active_app,url,note
2025-05-05 09:08:07,0,0,0,0,7.48,0.02,Electron,n/a
2025-05-05 09:08:07,1,0,0,0,7.5,0.02,Electron,n/a,resume
2025-05-05 09:08:15,1,0,0,0,7.5,0.02,Electron,n/a,reset
2025-05-05 09:08:30,1,0,0,0,7.5,0.02,Electron,n/a,final
2025-05-05 09:38:44,0,0,0,0,7.5,0.02,Electron,n/a
2025-05-05 09:38:44,1,0,0,0,7.52,0.02,Electron,n/a,resume
2025-05-05 09:38:53,1,0,0,0,7.52,0.02,Electron,n/a,reset
2025-05-05 09:38:59,2,0,0,0,7.52,0.02,Electron,n/a,resume
2025-05-05 09:39:00,2,1,0,1,7.52,0.04,Electron,n/a
2025-05-05 09:39:04,1,5,5,0,7.52,0.04,Electron,n/a,pause
2025-05-05 09:39:08,1,0,0,0,7.52,0.04,Electron,n/a,reset
2025-05-05 09:40:00,1,0,0,0,7.53,0.04,Electron,n/a
2025-05-05 09:41:00,1,0,0,0,7.55,0.04,Electron,n/a
2025-05-05 09:41:33,0,0,0,0,0.03,0.0,Electron,n/a
2025-05-05 09:41:34,1,0,0,0,0.04,0.0,Electron,n/a,resume
2025-05-05 09:42:01,2,27,0,27,0.04,0.02,Electron,n/a
2025-05-05 09:43:01,2,87,0,87,0.05,0.04,Electron,n/a
2025-05-05 09:44:01,2,147,0,147,0.05,0.06,Electron,n/a
2025-05-05 09:45:01,2,207,0,207,0.05,0.07,Google Chrome,anthropic.com
2025-05-05 09:46:01,2,267,0,267,0.05,0.09,Electron,n/a
2025-05-05 09:47:01,2,327,0,327,0.05,0.11,Electron,n/a
2025-05-05 09:47:27,0,0,0,0,0.03,0.0,Electron,n/a
2025-05-05 09:47:27,1,0,0,0,0.05,0.0,Electron,n/a,resume
2025-05-05 09:48:00,2,33,0,33,0.05,0.02,Electron,n/a
2025-05-05 09:49:00,2,93,0,93,0.05,0.03,Electron,n/a
2025-05-05 09:50:00,2,153,0,153,0.05,0.05,Electron,n/a
2025-05-05 09:50:40,0,0,0,0,0.04,0.04,Electron,n/a
2025-05-05 09:50:40,1,0,0,0,0.06,0.04,Electron,n/a,resume
2025-05-05 09:51:01,1,20,20,0,0.08,0.04,Electron,n/a
2025-05-05 09:52:01,1,80,80,0,0.09,0.04,Electron,n/a
2025-05-05 09:53:01,1,140,140,0,0.11,0.04,Electron,n/a
2025-05-05 09:54:01,0,200,0,0,0.11,0.04,Electron,n/a
2025-05-05 09:55:01,1,260,260,0,0.13,0.04,Electron,n/a
2025-05-05 09:56:01,1,320,320,0,0.14,0.04,Electron,n/a
2025-05-05 09:57:01,1,380,380,0,0.16,0.04,Electron,n/a
2025-05-05 09:57:52,0,0,0,0,0.15,0.04,Electron,n/a
2025-05-05 09:57:52,1,0,0,0,0.16,0.04,Electron,n/a,resume
2025-05-05 09:58:01,2,9,0,9,0.16,0.06,Electron,n/a
2025-05-05 10:00:46,0,0,0,0,0.15,0.09,Electron,n/a
2025-05-05 10:00:46,1,0,0,0,0.17,0.09,Electron,n/a,resume
2025-05-05 10:01:01,2,15,0,15,0.17,0.11,Electron,n/a
2025-05-05 10:05:20,0,0,0,0,0.15,0.16,Electron,n/a
2025-05-05 10:05:20,1,0,0,0,0.17,0.16,Electron,n/a,resume
2025-05-05 10:06:01,2,41,0,41,0.17,0.18,Electron,n/a
2025-05-05 10:06:14,0,0,0,0,0.16,0.17,Electron,n/a
2025-05-05 10:06:14,1,0,0,0,0.18,0.17,Electron,n/a,resume
2025-05-05 10:07:01,2,47,0,47,0.18,0.18,Electron,n/a
2025-05-05 10:08:01,2,107,0,107,0.18,0.2,Finder,n/a
2025-05-05 10:09:01,2,167,0,167,0.18,0.22,Arc,microsoftonline.com
2025-05-05 10:10:01,2,227,0,227,0.18,0.23,Electron,n/a
